company_name,scraped_data
Richmond Public Schools,null
Friends University,null
First United Bank,"First United Bank Mission, Vision & Values First United Bank Mission Statement Our mission is to be the premier banking and financial services provider in the communities we serve. We are dedicated to promoting the Spirit of West Texas and devoted to cultivating genuine personal relationships by partnering with our customers to fulfill their unique financial needs. We will offer innovative products and services delivered by responsive, friendly and knowledgeable professionals who will strive to create the Ultimate Customer Experience.First United Bank Valueshard work Dignity Generosity Growth First United Bank Mission, Vision & Values"
Coldwell Banker Realty,null
RTI International,"RTI International Mission, Vision & ValuesRTI International Mission StatementRTI International is an independent, nonprofit institute that provides research, development, and technical services to government and commercial clients worldwide. Our mission is to improve the human condition by t turning knowledge into practice.RTI International Values We operate with financial integrity and transparencyRTI International Mission, Vision & Values"
Randolph Brooks Federal Credit Union,null
Robert Wood Johnson Foundation,null
Pacific Lutheran University,null
Starwood Vacation Ownership,null
Camber Corporation,null
East Boston Neighborhood Health Center,null
Magellan Health,"Magellan Health Mission, Vision & Values Magellan Health Mission Statement Magellan’s purpose—leading humanity to healthy, vibrant lives—is an audacious goal: one that must be supported by strong core values that guide our actions.Magellan Health Vision Statement We focus on the health and well-being of every individual that we serve. We connect behavioral, physical, pharmacy and social needs into a complete picture of care that’s personalized, coordinated and cost-effective. By turning fragmented care into focused care, we empower 1 in 10 Americans to lead healthier, more vibrant lives every day.Magellan Health ValuesOWN ITWIN TOGETHERDELIVERCAREEVOLVESTAND TALL Magellan Health Mission, Vision & Values"
Fordham University,null
Rosendin,"Rosendin Electric Mission, Vision & Values Rosendin Electric Mission Statement Building Quality | Building Value | Building People.Rosendin Electric Vision Statement Lead. Inspire. Build.Rosendin Electric Values We Care We Listen We Share We Innovate We Excel Rosendin Electric Mission, Vision & Values"
Northwestern Mutual,"Northwestern Mutual Mission, Vision & Values Northwestern Mutual Mission & Values As achieving financial security becomes more complex for people, a few simple truths are becoming even more powerful. Relationships are built on trust. Our lives and businesses matter.  And we’re much stronger together than we are apart. These beliefs launched our company 160 years ago. Today they’re hardwired into our DNA and are just some of the reasons why people turn to Northwestern Mutual to help secure their financial lives.  Why are we so passionate about helping people achieve financial security? To start with, it’s not about profits. As a mutual company, we don’t have stockholders. It’s because we love building brighter futures for our more than four million client, financial representatives, employees and communities. We do it unlike anybody else.  We believe in doing what’s right. This is evident in the way we do business, in how we work with clients, in the values we hold and in the way we’re working together to strengthen local communities.Northwestern Mutual Vision Statement We aim to be the pre-eminent financial security firm by consistently focusing on one ambition: to have a meaningful impact on our financial professionals and staff, our clients and our communities that will create a legacy for future generations.Northwestern Mutual Mission, Vision & Values"
Pearland ISD,"Springbranch ISD Mission, Vision & Values Springbranch ISD Mission Statement The mission of the Spring Branch Independent School District Police Department is to protect the safety and welfare of persons and district property at all Spring Branch ISD facilities. The Department was established in 1987 as one of the State's first ISD Police Departments. We provide 24 hour a day, 365 days a year, law enforcement and security services for over 50 campuses and facilities in Spring Branch ISD Springbranch ISD Vision StatementSBMS will be a learning community that values differences and encourages high achievement in ALL students towards T-2-4 success.Springbranch ISD Values Every Child Collective Greatness Collaborative Spirit Limitless Curiosity Moral Compass Springbranch ISD Mission, Vision & Values"
SUPERVALU,"""SUPERVALU Mission, Vision & ValuesSUPERVALU Mission & Values Supervalu pharmacists play a key role in promoting the health and wellness of our customers. Our mission is to make it easier for all of our customers to manage any health conditions they may have or maintain good health,"""" said Chris Dimos"
Freelance Artist,"Freelance.com Mission, Vision & Values Freelance.com Mission & Values We structure and secure the relationships between companies and talented self-employed workers.Freelance.com Vision Statement We think that big companies are locomotives. For the economy: They engage the biggest projects. They structure the technological, methodological and commercial frameworks. They open huge markets to their suppliers.  For employability: The long-term vision and investment capacities of large companies make it possible to develop sustainable marketable expertise.  We believe that the majority of workers will be non-salaried. Deciding what to do: In the United States,  in 3 workers is freelance. It is not just a quest for freedom, but an aspiration to decide which topics to engage with time, skills and income.  Unmissable, expert and committed work force:  The income of non-employees depends solely on their know-how and the satisfaction of their customers. They represent a broader spectrum of skills than any structured enterprise. For all these reasons, they constitute a breeding ground today essential.  We believe that platform and human expertise are inseparable. Private Platform:  Large companies need a platform that adapts to their internal operating rules and tools. They are looking for skills related to their projects, which are therefore clearly identified - so they need a personalized platform that helps them to filter the most relevant profiles.  Experts in recruitment:  The placement of experts is an activity based on the match between a mission and a context on the one hand, and the best candidate (hard skills and soft skills) on the other hand. The exchange, the quality of the qualification, the consideration of the human are essential for a successful relationship.Freelance.com Mission, Vision & Values"
company name,"The Coca-Cola Company Mission, Vision & Values The Coca-Cola Company Mission & Values Our Roadmap starts with our mission, which is enduring. It declares our purpose as a company and serves as the standard against which we weigh our actions and decisions. To refresh the world... To inspire moments of optimism and happiness... To create value and make a difference.The Coca-Cola Company Vision Statement To achieve our mission, we have developed a set of goals, which we will work with our bottlers to deliver:  People: Inspiring each other to be the best we can be by providing a great place to work  Portfolio: Offering the world a portfolio of drinks brands that anticipate and satisfy people's desires and needs  Partners: Nurturing a winning network of partners and building mutual loyalty  Planet: Being a responsible global citizen that makes a difference by helping to build and support sustainable communities  Profit: Maximising long-term return to shareholders, while being mindful of our overall responsibilities  Productivity: Being a highly effective, lean and fast-moving organisation.The Coca-Cola Company Mission, Vision & Values"
Public Consulting Group,"Public Consulting Group Mission, Vision & Values Public Consulting Group Mission & Values At PCG, we’re passionate about getting results for our clients. Because we know that in the public sector, good results mean healthy, empowered, and successful individuals, families, and communities.Public Consulting Group Mission, Vision & Values"
Fresno Unified School District,null
Cambridge Public Schools,null
McAlister's Deli,null
Houston Texans,null
ARA,"Aramark Mission, Vision & Values Aramark Mission & Values Enriching and Nourishing Lives Is Our Mission and Responsibility. Here at Aramark, providing exceptional service to our customers and clients is just the start.Aramark Vision Statement Aramark's vision is to employ the best employees and have customers that recommend them to other companies. They would like their customers to be satisfied with the services that they receive from Aramark. The company measures its success through how its profits grow and the people within the company.Aramark Mission, Vision & Values"
Dean Foods,"Dean Foods Mission, Vision & Values Dean Foods Mission & Values The Company's primary objective is to maximize long-term stockholder value, while adhering to the laws of the jurisdictions in which it operates and at all times observing the highest ethical standards.Dean Foods Vision Statement At Dean Foods, we aim to be the most admired and trusted provider of wholesome, great-tasting dairy products at every occasion.Dean Foods Mission, Vision & Values"
BronxCare Health System,null
Alpha Omicron Pi Fraternity,null
Phoenix Suns,"Sunstates Security Mission, Vision & Values Sunstates Security Mission & Values To provide superior security services while always putting the client first; maintaining clear, continuous communication; and remaining true to our guiding principles:
"
• Honesty towards our clients, employees
• Integrity to honor our commitments and always do what we say,null
• Trust, ensuring that our clients and employees can count on us Sunstates Security Vision Statement We will grow strategically and organically while cultivating a reputation for exceeding our clients’ needs and expectations. Our goal is to change the way clients think about safety and security by going “above and beyond” every day
HONESTY,null
INTEGRITY,null
TRUST Sunstates Security Mission," Vision & Values"""
First State Bank,null
CCS,"CCS Mission, Vision & ValuesCCS Mission & Values Our commitment is to provide all of this to you at great prices and to make sure your order arrives at your door quickly.CCS Mission, Vision & Values"
Cypress-Fairbanks ISD,null
Madonna University,null
Five Star Senior Living,null
Borough of Manhattan Community College,null
Barnes & Noble College,null
Orange County Sheriff's Department,null
Altru Health System,null
Dana-Farber Cancer Institute,null
Blue Nile,"Blue Nile Mission, Vision & Values Blue Nile Mission Statement Our mission to take the mystery out of your purchase by offering only the finest quality loose diamonds and jewelry available, along with expert guidance and education Blue Nile Vision Statement Our jewelry is crafted with superior materials and inspected against exceptional quality standards.Blue Nile Values Quality Guidance Education Blue Nile Mission, Vision & Values"
ECS,"ECS Federal Mission, Vision & ValuesECS Federal Mission & Values To uphold our customer-first approach, build our robust portfolio of services, and leverage our technology partnerships to deliver solutions to the complex challenges facing our customers.ECS Federal Mission, Vision & Values"
MidAmerica Nazarene University,null
Brooks Brothers,"Brooks Brothers Mission, Vision & Values Brooks Brothers Mission Statement Brooks Brothers and the Golden Fleece Foundation believe that social purpose is the hallmark of a successful company. Our mission is to enhance the lives both within and beyond the communities we serve. We do this by partnering with select local, national and international non-profit organizations related to men’s, women’s and children’s health issues as well as education and the arts.Brooks Brothers Vision Statement Our vision to be the premiere lifestyle destination for ladies and gentleman for every generation.Brooks Brothers Values Relationships Innovation History Brooks Brothers Mission, Vision & Values"
KapStone Paper and Packaging Corporation,null
Newport Mesa Unified School District,null
Robert Morris University,null
DECA Inc.,null
Tarbell Realtors,"Weichert Realtors Mission, Vision & Values Weichert Realtors Mission Statement Weichert can introduce customers to mortgage partners who work with local Weichert offices. These trusted advisors provide integrated solutions and services to help make the entire homeownership process worry-free.Weichert Realtors Values It hosts well experienced agents and support staff who proudly reflect our core values of integrity, professionalism and customer service. At WEICHERT, REALTORS® - Suburban Properties, our commitment to putting the customer first is stronger than ever.Weichert Realtors Mission, Vision & Values"
Ameritas,"Ameritas Life Insurance Mission, Vision & Values Ameritas Life Insurance Mission Statement We help make the lives of our customers and their families better by offering proven, trusted and valued insurance and financial solutions over lifetimes. This is what we do and we strive to do it better than anyone.Ameritas Life Insurance Vision Statement We are the company that our customers, our partners and our associates are proud to call theirs. Together we will touch more lives and help more people.Ameritas Life Insurance Values We will work hard to earn the trust of our customers, partners and each other.We will be good business stewards of the resources that have been entrusted to us.We will attract, challenge, grow and reward our most valuable assets – our people.We will serve our communities with purpose.We will always operate in adherence to the highest ethical standards.Ameritas Life Insurance Mission, Vision & Values"
KB Toys,null
US Army TRADOC,null
Ion Solar,null
null,null
ASCAP,"ASCAP Mission, Vision & ValuesASCAP Mission StatementASCAP is the world leader in performance royalties, advocacy and service for songwriters, composers and music publishers. Our mission is to ensure that our music creator members can thrive alongside the businesses who use our music so that, together, we can continue to touch the lives of billions.ASCAP Values Check Out Our New ASCAP Logo. We believe ASCAP's visual brand should support our evolution as a leading music rights organization for the 21st century. Our new logo captures ASCAP's core values of transparency, efficiency and dedication to our members and licensees.ASCAP Mission, Vision & Values"
dELiA*s,null
Switch,"Switchfly, Inc Mission, Vision & Values Switchfly, Inc Mission & Values Switchfly is a travel ecommerce platform with the most robust global network of activity, air, car, hotel and insurance products that transforms travel experiences into maximum loyalty & revenue Switchfly, Inc Mission, Vision & Values"
Barnard College,null
Millennium Health,null
MedData,"Med Data Mission, Vision & Values Med Data Mission & Values Med Data is a leading national provider of technology-enabled healthcare services designed to improve financial outcomes for hospitals by enhancing the patient experience and expanding their access to healthcare.Med Data Mission, Vision & Values"
Allegheny County,null
Baylor University,null
National Church Residences,null
A.C. Moore,"A.C. Moore Mission, Vision & ValuesA.C. Moore Mission Statement At A.C. Moore, we are devoted to being our customers’ first choice for product selection, value, and service that inspires and fulfills unlimited creative possibilities.A.C. Moore Vision Statement Global Community Creativity to the people! A.C. Moore believes in the right  to creative self-expression and supports the ambitions of creative people everywhere.  Inspired If imagination and reality had a meet-up, it would be at A.C. Moore. We strive to create a transportive, abundant experience that breathes life into ideas, gives us wonder, and inspires new thinking.  Creative By crafters, for crafters. We are bonded to our customer community with a shared passion for making things and the process of creation.A.C. Moore Values People & Our Community Collaboration & Teamwork Creativity Commitment Inspire ChangeA.C. Moore Mission, Vision & Values"
Virginia Institute of Marine Science,null
Lettuce Entertain You Restaurants,"Lettuce Entertain You Enterprises Mission, Vision & Values Lettuce Entertain You Enterprises Mission Statement Our goal is not to be the biggest, but to be the best we can be.Lettuce Entertain You Enterprises Vision Statement We are a band of entrepreneurs that do something under one umbrella and it's our culture of caring that bonds us. Caring about the food, service, our people and our guests Lettuce Entertain You Enterprises Values Creativity Caring Customer service Lettuce Entertain You Enterprises Mission, Vision & Values"
Florida Army National Guard,null
The Boston Beer Company,null
Modine Manufacturing Company,null
"H&E Equipment Services, Inc.","Hub Spot Mission, Vision & Values Hub Spot Mission Statement We're building a company future generations can be proud of. A company where everyone is welcome. A company where you can be yourself. Building an inclusive environment is a team effort - come build it with us, and let's grow better together!
"
Hub Spot (NYSE: HUBS) is the customer platform that helps your business grow better. Hub Spot delivers seamless connections for customer-facing teams with a unified platform. Today, over 194
Hub Spot has been recognized for its award-winning culture by Glassdoor, Great Place to Work
Dane County,"Dane County Humane Society Mission, Vision & Values Dane County Humane Society Mission & Values Dane County Humane Society (DCHS) serves south central Wisconsin in the areas of animal intake and care, medical services, education, adoption and outreach. Our services and programs include: a nationally recognized ringworm treatment program and other cutting-edge shelter medicine programs; innovative partnerships with area veterinary clinics, the University of Wisconsin School of Veterinary Medicine, and the University of California-Davis Shelter Medicine Program; and summer camps and other education programs for children."
County of San Mateo,null
The Kraft Heinz Company,"The Kraft Heinz Company Mission, Vision & Values The Kraft Heinz Company Mission Statement The Kraft Heinz Company (NASDAQ: KHC) is the third-largest food and beverage company in North America and the fifth-largest food and beverage company in the world, with eight $1 billion+ brands. A globally trusted producer of delicious foods, The Kraft Heinz Company provides high quality, great taste and nutrition for all eating occasions whether at home, in restaurants or on the go. The Company’s iconic brands include Kraft, Heinz, ABC, Capri Sun, Classico, Jell-O, Kool-Aid, Lunchables, Maxwell House, Ore-Ida, Oscar Mayer, Philadelphia, Planters, Plasmon, Quero, Weight Watchers Smart Ones and Velveeta. The Kraft Heinz Company is dedicated to the sustainable health of our people, our planet and our Company.The Kraft Heinz Company Vision StatementTO BE THE BEST FOOD COMPANY, GROWING A BETTER WORLD The Kraft Heinz Company Values Costumer frist Innovation Integrity Ownership Quality The Kraft Heinz Company Mission, Vision & Values"
Calvin University,"""Stanford University Mission, Vision & Values Stanford University Mission Statement Stanford University's Founding Grant states the university’s objective is “to qualify its students for personal success, and direct usefulness in life” and its purpose “to promote the public welfare by exercising an influence on behalf of humanity and civilization."""" We solve some of the world's most complex problems through the application of research findings and we educate the leaders of the future.Stanford University Vision Statement Fueled by optimism"
NCH Healthcare System,null
Berkshire Hathaway Home Services,"Berkshire Hathaway Home Services Mission, Vision & Values Berkshire Hathaway Home Services Mission Statement Our mission is to provide services and support that significantly increase the growth and profitability of the network’s affiliates and agents.Berkshire Hathaway Home Services Vision Statement Our vision is to be the best-recognized and most highly respected homeownership services brand in the United States and worldwide.Berkshire Hathaway Home Services ValuesGROWTHRELATIONSHIPSAUTHENTICITYCOMPASSIONEMPOWERMENTSERVICE Berkshire Hathaway Home Services Mission, Vision & Values"
"Movado Group, Inc",null
x,"XPO Mission, Vision & ValuesXPO Mission Statement People, technology, assets and expertise that work together around the globe to help our customers succeed.XPO ValuesSAFEENTREPRENEURIALRESPECTFULINNOVATIVEINCLUSIVEXPO Mission, Vision & Values"
Ardent Mills,"Ardent Mills Mission, Vision & Values Ardent Mills Mission Statement Enhancing the quality of life and standard of health.Ardent Mills Vision Statement Ardent Mills® is the trusted partner in nurturing our customers, consumers and communities through innovative and nutritious grain-based solutions.Ardent Mills Values Trust Serving Simplicity Safety Ardent Mills Mission, Vision & Values"
